repo,pr_number,before_commit,after_commit
"""cordova-android""",430,,
"""cordova-android""",429,,
"""cordova-android""",427,,
"""cordova-android""",426,,
"""cordova-android""",425,,
"""cordova-android""",424,,
"""cordova-android""",422,https://github.com/apache/cordova-android/commit/21b3f7a0b8b4ff18ab7c0abe32bb333accaba48b,https://github.com/apache/cordova-android/commit/109112ae752dcd2641a320b3451c992f57916170
"""cordova-android""",421,,
"""cordova-android""",420,,
"""cordova-android""",419,,
"""cordova-android""",418,,
"""cordova-android""",417,,
"""cordova-android""",416,,
"""cordova-android""",415,,
"""cordova-android""",414,,
"""cordova-android""",413,https://github.com/apache/cordova-android/commit/7c39e476f1478631a9a803704c10a68ccfc1b7c7,https://github.com/apache/cordova-android/commit/9fdb12671519e97e78c36f4d68025246334f7c04
"""cordova-android""",411,,
"""cordova-android""",410,,
"""cordova-android""",408,,
"""cordova-android""",406,https://github.com/apache/cordova-android/commit/29d1240770f8ff26a3b1bbeba0290bc350b81236,https://github.com/apache/cordova-android/commit/16379376648c199a1e57b3f0a71d4e7277272e4a
"""cordova-android""",405,https://github.com/apache/cordova-android/commit/172f8979cd106cbcaa104bb31d15a608a971baac,https://github.com/apache/cordova-android/commit/03144eb1603ce945ed5cbf8ee0fbf71232ab4903
"""cordova-android""",404,,
"""cordova-android""",403,,
"""cordova-android""",402,,
"""cordova-android""",401,,
"""cordova-android""",399,https://github.com/apache/cordova-android/commit/0e0062c4453adeed7233e2550de933555c0e3315,https://github.com/apache/cordova-android/commit/d364f46baa48aee013412b18b94403868baf5f5f
"""cordova-android""",395,,
"""cordova-android""",391,https://github.com/apache/cordova-android/commit/65661b6b5086eea46ae28f6978b67e67585b06c7,https://github.com/apache/cordova-android/commit/90053eb9dfc03c6cdab31aab665324556c3358be
"""cordova-android""",389,,
"""cordova-android""",388,https://github.com/apache/cordova-android/commit/0160ad16abe5fda0b27dd94533271f9c2c74225f,https://github.com/apache/cordova-android/commit/540929c6a0ced3d186ce9b1efea03c32403b89d1
"""cordova-android""",386,https://github.com/apache/cordova-android/commit/16eb725a369fa0cd9d348ce8d9b79ce6be60dce7,https://github.com/apache/cordova-android/commit/55d7cf38654157187c4a4c2b8784191acc97c8ee
"""cordova-android""",385,,
"""cordova-android""",382,https://github.com/apache/cordova-android/commit/c350b392636c12dc66a7d5258b3c4b840b006115,https://github.com/apache/cordova-android/commit/0cc3df37475d822d7dbdc094caa49ac7d7f598d9
"""cordova-android""",381,,
"""cordova-android""",369,https://github.com/apache/cordova-android/commit/389d81b972cc272b4911f0140891a5fb6c740abd,https://github.com/apache/cordova-android/commit/2f2e8a560d3ef0cf9d82931bb511f19ce044f58a
"""cordova-android""",352,https://github.com/apache/cordova-android/commit/aaa12087e2ba6505c6b0eb7c8a024833bfd9feb7,https://github.com/apache/cordova-android/commit/2940d0520938fb479d1d6971a22b6471a85e457d
"""cordova-android""",344,,
"""cordova-android""",341,https://github.com/apache/cordova-android/commit/7862a82e95ad6ceacb0f69c0ba7b6ba84db4cc68,https://github.com/apache/cordova-android/commit/b2d7124424340b3c6534c0701bd10f9697be3433
"""cordova-android""",333,,
"""cordova-android""",314,,
"""cordova-android""",310,https://github.com/apache/cordova-android/commit/b6a2371f4347a092cfcbc82a17da78e38a5a1af7,https://github.com/apache/cordova-android/commit/22645d9158075b99d43cdcd9551c52a3bcf9ed29
"""cordova-android""",304,,
"""cordova-android""",302,,
"""cordova-android""",297,,
"""cordova-android""",296,,
"""cordova-android""",292,,
"""cordova-android""",289,,
"""cordova-android""",287,,
"""cordova-android""",284,,
"""cordova-android""",278,,
"""cordova-android""",277,,
"""cordova-android""",276,,
"""cordova-android""",274,,
"""cordova-android""",272,https://github.com/apache/cordova-android/commit/ea66012901a842e4bdda110ecfa073592a628829,https://github.com/apache/cordova-android/commit/2cefb425598aed2b2bf0d742c93a2b8f8ce2ba6b
"""cordova-android""",269,,
"""cordova-android""",268,,
"""cordova-android""",265,,
"""cordova-android""",263,,
"""cordova-android""",260,,
"""cordova-android""",258,,
"""cordova-android""",257,,
"""cordova-android""",252,,
"""cordova-android""",251,,
"""cordova-android""",249,,
"""cordova-android""",240,,
"""cordova-android""",239,,
"""cordova-android""",238,,
"""cordova-android""",235,,
"""cordova-android""",233,,
"""cordova-android""",230,,
"""cordova-android""",216,,
"""cordova-android""",209,,
"""cordova-android""",204,,
"""cordova-android""",203,,
"""cordova-android""",201,,
"""cordova-android""",191,,
"""cordova-android""",189,,
