repo,pr_number,before_commit,after_commit
"""maven-resolver""",38,,
"""maven-resolver""",36,https://github.com/apache/maven-resolver/commit/e8a8040616a526ed9822eb6ce9e3268c747983ce,https://github.com/apache/maven-resolver/commit/a9f849c59e5fa774ebc88df4cfccb293c28fbc09
"""maven-resolver""",27,,
"""maven-resolver""",23,https://github.com/apache/maven-resolver/commit/26abf0ea4f0ff2608395f67c75c1dba929e0f2ba,https://github.com/apache/maven-resolver/commit/30cc467f55df8c6374e76fea1ab8deae74794c62
"""maven-resolver""",21,,
"""maven-resolver""",13,https://github.com/apache/maven-resolver/commit/e91a33810acd89b25485d9300aa0e2b3ece51457,https://github.com/apache/maven-resolver/commit/e1976767cf714da24336339f7a6286c6ab50986a
