repo,pr_number,before_commit,after_commit
"""sling-org-apache-sling-servlets-resolver""",4,,
"""sling-org-apache-sling-servlets-resolver""",3,,
"""sling-org-apache-sling-servlets-resolver""",2,,
"""sling-org-apache-sling-servlets-resolver""",1,,
