repo,pr_number,before_commit,after_commit
"""maven-dependency-plugin""",16,,
"""maven-dependency-plugin""",15,,
"""maven-dependency-plugin""",14,,
"""maven-dependency-plugin""",9,https://github.com/apache/maven-dependency-plugin/commit/6bf7ff23cbf680c5b529c1b9d9b4546b51c7b73f,https://github.com/apache/maven-dependency-plugin/commit/89fb1177a83bc5c798c00885a46feb392401f806
"""maven-dependency-plugin""",5,https://github.com/apache/maven-dependency-plugin/commit/d2503dd89d7e550f9d38518a2fa9ed505174c04e,https://github.com/apache/maven-dependency-plugin/commit/8940e4694eae6672cee41f8ff375b9b908118b39
